08/18/2024,15:27:34,Temperature:,17.62,63.72
08/18/2024,15:28:41,Temperature:,26.25,79.25
08/18/2024,21:11:31,Temperature:,18.25,64.85
08/18/2024,22:15:55,Temperature:,18.44,65.19
08/18/2024,22:24:32,Temperature:,22.62,72.72
08/18/2024,22:27:07,Temperature:,22.31,72.16
08/18/2024,22:28:32,Temperature:,22.06,71.71
08/18/2024,22:28:43,Temperature:,26.44,79.59
08/18/2024,22:28:54,Temperature:,29.5,85.1
08/18/2024,22:29:05,Temperature:,30.06,86.11
08/18/2024,22:29:16,Temperature:,29.5,85.1
08/18/2024,22:29:27,Temperature:,29.0,84.2
08/18/2024,22:30:40,Temperature:,25.5,77.9
08/18/2024,22:30:51,Temperature:,25.25,77.45
08/18/2024,22:31:02,Temperature:,25.0,77.0
08/18/2024,22:31:13,Temperature:,24.88,76.78
08/18/2024,22:31:24,Temperature:,24.81,76.66
08/18/2024,22:31:35,Temperature:,24.81,76.66
08/18/2024,22:31:46,Temperature:,24.81,76.66
08/18/2024,22:31:56,Temperature:,24.75,76.55
