09/30/2024,18:29:02,Temperature:,20.75,69.35
09/30/2024,18:35:57,Temperature:,21.25,70.25
09/30/2024,18:51:13,Temperature:,21.94,71.49
09/30/2024,19:06:14,Temperature:,22.5,72.5
09/30/2024,19:21:15,Temperature:,23.0,73.4
09/30/2024,19:36:16,Temperature:,23.5,74.3
09/30/2024,19:49:36,Temperature:,23.88,74.98
09/30/2024,19:49:37,Temperature:,23.94,75.09
09/30/2024,19:51:17,Temperature:,23.94,75.09
09/30/2024,20:06:18,Temperature:,24.44,75.99
09/30/2024,20:21:19,Temperature:,23.69,74.64
09/30/2024,20:36:19,Temperature:,23.38,74.08
09/30/2024,20:51:20,Temperature:,23.12,73.62
09/30/2024,21:03:20,Temperature:,23.0,73.4
09/30/2024,21:06:21,Temperature:,23.12,73.62
09/30/2024,21:21:22,Temperature:,24.31,75.76
09/30/2024,21:36:23,Temperature:,23.69,74.64
09/30/2024,21:51:24,Temperature:,23.38,74.08
09/30/2024,22:06:25,Temperature:,23.12,73.62
09/30/2024,22:21:26,Temperature:,22.94,73.29
09/30/2024,22:36:26,Temperature:,24.12,75.42
09/30/2024,22:51:27,Temperature:,23.5,74.3
09/30/2024,23:06:28,Temperature:,23.19,73.74
09/30/2024,23:21:29,Temperature:,23.0,73.4
09/30/2024,23:36:30,Temperature:,24.12,75.42
09/30/2024,23:51:31,Temperature:,23.5,74.3
10/01/2024,00:06:32,Temperature:,23.19,73.74
10/01/2024,00:21:33,Temperature:,22.94,73.29
10/01/2024,00:36:33,Temperature:,24.12,75.42
10/01/2024,00:51:34,Temperature:,23.5,74.3
10/01/2024,01:06:35,Temperature:,23.19,73.74
10/01/2024,01:21:36,Temperature:,23.0,73.4
10/01/2024,01:36:37,Temperature:,24.06,75.31
10/01/2024,01:51:38,Temperature:,23.5,74.3
10/01/2024,02:06:39,Temperature:,23.12,73.62
10/01/2024,02:21:39,Temperature:,22.88,73.18
10/01/2024,02:36:40,Temperature:,23.94,75.09
10/01/2024,02:51:41,Temperature:,24.62,76.32
10/01/2024,03:06:42,Temperature:,23.81,74.86
10/01/2024,03:21:43,Temperature:,23.38,74.08
10/01/2024,03:36:44,Temperature:,23.12,73.62
10/01/2024,03:51:45,Temperature:,22.94,73.29
10/01/2024,04:06:46,Temperature:,24.12,75.42
10/01/2024,04:21:46,Temperature:,23.44,74.19
10/01/2024,04:36:47,Temperature:,23.06,73.51
10/01/2024,04:51:48,Temperature:,22.81,73.06
10/01/2024,05:06:49,Temperature:,23.88,74.98
10/01/2024,05:21:50,Temperature:,24.56,76.21
10/01/2024,05:36:51,Temperature:,23.69,74.64
10/01/2024,05:51:52,Temperature:,23.31,73.96
10/01/2024,06:06:53,Temperature:,23.06,73.51
